id|Product Name|Brand|Category|Rank|Price|Rating|Weight|Available From|Est. Revenue
75|WEREWOLVES Personalized Insulated Water Bottle with Paracord Handle Straw Lid & Spout Lid, Vacuum Stainless Steel Wide Mouth Water Bottle for Adults (Bright Stars-without Handle, 32oz)|WEREWOLVES|Home & Kitchen|#12,528|$10.99|4.6|1.303|11/28/22|$8,032
76|Trebo 64 oz Water Bottle Insulated with Handle, Half Gallon Stainless Steel Metal Large Jug,Travel Flask Thermos with Straw Spout Lid,Mug Tumbler Cup with Carry Pouch,Keep Cold Hot, Indigo Black|WithTreboskyisthelimit|Sports & Outdoors|#33,065|$29.98||2.619|06/11/23|$1,170
77|NICEMER 12 oz Water Bottle, Water Bottle with Strap Lid, Insulated Stainless Steel Reusable, 12 oz, Army|NICEMER|Home & Kitchen|#15,533|$11.99|4.5|0.6|02/09/23|$18,905
78|Insulated water bottle (White, 32 oz)|Kerilyn|Sports & Outdoors|#222,683|$11.99||2.205|06/14/23|
79|BOGI Stainless Steel Water Bottle, 2 Pack 20oz Vacuum Insulated Water Bottle with Straw Lid, BPA Free Leakproof Wide Mouth Water Bottle-Keep Liquids Hot or Cold for Outdoor Sports Camping (Black&Mint)|BOGI|Sports & Outdoors|#20,334|$28.89|4.3|2.339|04/26/22|$9,043
80|COKTIK Insulated Stainless Steel Water Bottle With Straw Lid, 22 oz Wide Mouth Double Wall Vacuum Insulated Water Bottle Leakproof Lightweight for Hiking, Biking, Running(Sweet Candy)|coktik|Home & Kitchen|#871|$20.69|4.8|1.001|05/23/23|$105,544
81|FineDine Insulated Water Bottles with Straw - 25 Oz Stainless Steel Metal Water Bottle W/ 3 Lids - Reusable for Travel, Camping, Bike, Sports - Inky Raven Black|FINEDINE|Home & Kitchen|#1,167|$19.90|4.7|1.21|05/25/20|$104,762
82|Farsea Insulated Water Bottle With Paracord Handle, Protective Silicone Boot and 2 Lids (Straw Lid & Spout Lid), Stainless Steel Water Bottle Wide Mouth, Double Wall Sweat-Proof BPA-Free, 24 oz|Farsea|Sports & Outdoors|#1,222|$24.99|4.6|1.23|08/01/22|$98,785
83|"Simple Modern Water Bottle with Straw and Chug Lid Vacuum Insulated Stainless Steel Metal Thermos Bottles | Reusable Leak Proof BPA-Free Flask for Sports Gym | Summit Collection | 32oz, Mauve Me"|SimpleModern|Home & Kitchen|#23|$24.99|4.8|1.369|08/14/22|$1,030,962
84|MarkoJo 24oz Triple Insulated Stainless Steel Water Bottle - Double Wall Vacuum Insulated Thermos -Leak-Proof - Wide Mouth- 2 Lids and straw - Sports drinks jug flask - Coldest 24Hrs - FIRE HOT 12Hrs|MarkoJo|Home & Kitchen|#6,862|$9.99|4.5|1.171|10/09/22|$33,111
85|Oisiz Kids Water Bottle with Straw Lid 14oz, Vacuum Insulated 316 Stainless Steel Water Bottles for Kids for School, Leakproof Toddler Water Bottle, BPA Free and Keep Cold for 24 Hours, Navy Blue|OisizOisiz|Home & Kitchen|#2,053|$15.99|4.4|0.785|01/05/23|$142,631
86|Kerilyn Half Gallon Water Bottle Insulated, 64oz Stainless Steel Water Jug With Handle and Wide Mouth Water Flask Sweat-Proof, Half Gallon Vacuum Double Walled Jug for Sports, Outdoors, Stainless|Kerilyn|Sports & Outdoors|#34,314|$25.99|4.7|2.65|07/10/22|$5,094
87|SkyWell 24oz Stainless Steel Water Bottle with 3 in 1 Lid, BPA-Free Leak-Proof Wide Mouth Vacuum-Insulated Water Flask with Straw and Handle Sweat-Proof for Outdoor and Travel, Yellowstone|SkyWell|Sports & Outdoors|#10,104|$11.99|3.9|1.23|09/12/22|$7,617
88|Hydro Flask Wide Mouth Bottle with Flex Cap|HydroFlask|Sports & Outdoors|#20|$42.95|4.8|1.301|01/03/20|$1,253,530
89|BOTTLE BOTTLE 32oz Insulated Water Bottle Stainless Steel Sport Water Bottle with Straw Dual-use Lid Design for Gym with Pill Box (green)|BUYNOW|Sports & Outdoors|#1,149|$26.99|4.6|1.261|03/26/23|$94,222
90|qbottle Insulated Water Bottles with Carabiner Lid – Stainless Steel Water Bottle – Leak Proof Metal Water Bottle – No Sweat – Wide Mouth – Denim Blue, 27 oz|qbottle|Home & Kitchen|#8,526|$23.99|4.8|1.151|04/23/23|$67,228
